"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.23392125787962e-273,0.922218507732398,0.747,0.457,4.51627519596521e-269,"0","CD69"
5.37495702528404e-273,1.79427703646504,0.281,0.093,1.96728802082421e-268,"0","FGD2"
1.29462974119973e-268,0.730987833113387,0.85,0.759,4.73847431576513e-264,"0","RPL38"
3.53599888828214e-258,0.641134924910582,0.89,0.818,1.29421095310015e-253,"0","EEF1D"
6.80336775607516e-253,1.02604333576758,0.729,0.591,2.49010063240107e-248,"0","NOP53"
8.33727332645277e-253,1.98907227035067,0.351,0.152,3.05152541021498e-248,"0","IFT57"
1.16072643913246e-252,1.43299479233006,0.569,0.377,4.24837483986872e-248,"0","POLD4"
7.51889028414118e-252,0.786718965073801,0.834,0.735,2.75198903289851e-247,"0","RPL31"
2.54831937322681e-249,1.60554634932883,0.32,0.124,9.32710373794744e-245,"0","TLE1"
5.85133618157936e-245,1.26691412363392,0.617,0.421,2.14164755581986e-240,"0","GAS5"
1.47273729011103e-244,1.62182714569771,0.336,0.138,5.39036575553537e-240,"0","ALOX5"
8.16571032370987e-244,0.420487001430338,0.997,0.987,2.98873163558105e-239,"0","MT-CO3"
1.42313874864882e-241,1.83088463966313,0.34,0.146,5.20883013392953e-237,"0","DRAM2"
2.23665134726337e-238,1.95534161171528,0.3,0.118,8.18636759611864e-234,"0","ORAI2"
2.89709012573494e-234,1.46545022650092,0.328,0.129,1.06036395692025e-229,"0","PLAC8"
1.321049769362e-232,1.61331531693157,0.271,0.096,4.83517426084184e-228,"0","CHPT1"
6.55185995642924e-232,1.13559335632144,0.473,0.242,2.39804626265266e-227,"0","SP140"
6.62902357943973e-230,1.35744180636336,0.416,0.203,2.42628892031074e-225,"0","SYK"
1.4529659027801e-229,1.30431674886361,0.476,0.254,5.31800050076545e-225,"0","SP110"
4.10433200286555e-229,1.36654506906035,0.391,0.182,1.50222655636882e-224,"0","GGA2"
1.37078437847005e-227,1.06197246430381,0.616,0.391,5.01720790363821e-223,"0","UCP2"
1.76951793633541e-225,0.501924507791569,0.97,0.888,6.47661259878122e-221,"0","RPS24"
7.97433598215972e-225,0.785341114117126,0.747,0.561,2.91868671283028e-220,"0","EZR"
4.45404937189056e-221,0.689704930419202,0.865,0.77,1.63022661060567e-216,"0","PFDN5"
9.86734588538026e-219,1.01897451561626,0.716,0.586,3.61154726750803e-214,"0","RPS20"
1.38148593477981e-218,1.72689082696477,0.295,0.118,5.05637666988759e-214,"0","ACP5"
3.85751329787699e-217,0.754563833796934,0.798,0.661,1.41188844215596e-212,"0","ARPC3"
1.01423327968633e-216,0.761566770959929,0.806,0.688,3.71219522697995e-212,"0","NPM1"
