"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"HNRNPA11",1.94250788680184e-148,0.468080720167584,0.875,0.723,7.10977311648343e-144,"1","HNRNPA1"
"IKZF3",3.09523159495406e-148,0.699573507416856,0.414,0.217,1.13288571606914e-143,"1","IKZF3"
"LBH",1.37309624460754e-147,0.573362924006535,0.445,0.237,5.02566956488806e-143,"1","LBH"
"MAT2B1",1.56238288482027e-147,1.08856701513865,0.412,0.243,5.71847759673068e-143,"1","MAT2B"
"ENSA",1.85515919804464e-146,0.741678859260292,0.618,0.457,6.79006818076319e-142,"1","ENSA"
"COMMD7",3.84871562915716e-146,1.31212328036355,0.326,0.171,1.40866840742781e-141,"1","COMMD7"
"CIB11",7.04333419582465e-146,0.764450994081986,0.565,0.392,2.57793074901378e-141,"1","CIB1"
"SSR2",1.15384854158415e-145,0.61828026412764,0.68,0.529,4.22320104705214e-141,"1","SSR2"
"HINT11",1.78262057229035e-145,0.500170002837848,0.781,0.606,6.5245695566399e-141,"1","HINT1"
"NDUFA3",2.09813714230752e-145,0.767987207018468,0.615,0.463,7.67939175455974e-141,"1","NDUFA3"
"TBCC",3.18543659106934e-145,1.39734928405607,0.257,0.113,1.16590164669729e-140,"1","TBCC"
"TRPV2",1.32189495893811e-144,1.46446993865065,0.255,0.114,4.83826773920937e-140,"1","TRPV2"
"RPL7A1",3.64063050439057e-144,0.291591093802155,0.982,0.889,1.33250717091199e-139,"1","RPL7A"
"BCL11B",4.77855036009502e-144,0.268690815380703,0.317,0.138,1.74899721729838e-139,"1","BCL11B"
"HNRNPDL1",6.2140505041083e-144,0.52505120860337,0.806,0.663,2.27440462500868e-139,"1","HNRNPDL"
"SOD1",4.17445492182691e-143,0.674978101718099,0.617,0.434,1.52789224593787e-138,"1","SOD1"
"COX7A2",1.53121622146288e-142,0.575668148296429,0.687,0.523,5.60440449217627e-138,"1","COX7A2"
"TMBIM6",3.26563314752218e-142,0.547293339022511,0.77,0.628,1.19525438832459e-137,"1","TMBIM6"
"PDIA3",5.21215890874346e-142,0.662764228260879,0.67,0.517,1.90770228218919e-137,"1","PDIA3"
"KLF6",6.17964840047615e-142,0.515300829938312,0.892,0.734,2.26181311105828e-137,"1","KLF6"
"PSMA7",9.33827483002843e-142,0.664096053284585,0.669,0.509,3.4179019705387e-137,"1","PSMA7"
"RGCC",1.45598475829056e-141,1.08350286396069,0.517,0.336,5.32904981381926e-137,"1","RGCC"
"FAM177A1",2.01506219349643e-141,0.987944093394387,0.473,0.308,7.37532913441627e-137,"1","FAM177A1"
"C16orf54",2.26216599781441e-140,1.52011712545504,0.273,0.13,8.27975376860053e-136,"1","C16orf54"
"RPL351",4.33843350623844e-140,0.355665288331081,0.945,0.815,1.58791004761833e-135,"1","RPL35"
"BRD2",6.91480148969942e-140,0.862782753544172,0.563,0.412,2.53088649324488e-135,"1","BRD2"
"JMJD6",1.83501907284732e-139,1.43009751805683,0.286,0.141,6.71635330852846e-135,"1","JMJD6"
"PET100",3.78743654921738e-139,0.803333022141721,0.577,0.434,1.38623965137905e-134,"1","PET100"
"LDHB",1.2596852753096e-138,0.617098818769558,0.625,0.447,4.61057407616065e-134,"1","LDHB"
"PARK7",1.84183260785551e-138,0.683669703765423,0.636,0.479,6.74129152801196e-134,"1","PARK7"
"CMC1",8.98442131884661e-138,2.06083348855325,0.26,0.125,3.28838804691105e-133,"1","CMC1"
"RNF19A",2.50576979063046e-137,0.428625348319764,0.534,0.336,9.17136801068654e-133,"1","RNF19A"
"ALDOA",2.80856845765937e-137,0.521650465884917,0.73,0.537,1.02796414118791e-132,"1","ALDOA"
"EIF3G",3.82240111523216e-137,0.720646841226997,0.627,0.479,1.39903703218612e-132,"1","EIF3G"
"POLR3GL",6.92506992163799e-137,1.14055943441159,0.364,0.207,2.53464484201872e-132,"1","POLR3GL"
"FKBP8",9.38672909002704e-137,0.879382962238334,0.533,0.383,3.4356367142408e-132,"1","FKBP8"
"RPL101",1.07380074241173e-136,0.278101011189563,0.994,0.947,3.93021809730117e-132,"1","RPL10"
"NDUFB8",3.90063090702951e-136,0.740027363889531,0.595,0.445,1.42766991828187e-131,"1","NDUFB8"
"EVI2A",4.55121891335121e-136,1.30736725164951,0.292,0.145,1.66579163447568e-131,"1","EVI2A"
"GTF3A1",4.80734678478331e-136,0.985645174513802,0.471,0.319,1.75953699669854e-131,"1","GTF3A"
"CDC42",7.60098608636411e-136,0.677251510584012,0.651,0.496,2.78203691747013e-131,"1","CDC42"
"CLEC2D",5.53273015655691e-135,0.480605307670178,0.444,0.238,2.0250345646014e-130,"1","CLEC2D"
"ATP5F1B",4.77824314478208e-134,0.638676918443925,0.648,0.487,1.74888477342169e-129,"1","ATP5F1B"
"PLAAT3",1.19017181775933e-133,1.37933394131935,0.29,0.149,4.35614787018093e-129,"1","PLAAT3"
"PAIP2",2.51131524667877e-133,0.844949988119096,0.515,0.361,9.19166493436895e-129,"1","PAIP2"
"BSG",2.87988996771748e-133,0.757223058216572,0.567,0.413,1.05406852708427e-128,"1","BSG"
"RAB5IF",3.34098209292867e-133,1.31818997981069,0.363,0.217,1.22283285583282e-128,"1","RAB5IF"
"ZBTB38",4.38421043456182e-133,1.00196009982344,0.411,0.251,1.60466486115397e-128,"1","ZBTB38"
"RBM8A1",1.52685947515215e-131,0.700292141050331,0.601,0.449,5.58845836500439e-127,"1","RBM8A"
"KCNAB2",1.69717961684836e-131,0.859891139110552,0.371,0.203,6.21184711562668e-127,"1","KCNAB2"
"GOLGA7",3.06319698862887e-131,1.31169499242195,0.308,0.163,1.12116072980805e-126,"1","GOLGA7"
"IDS",5.56915621110493e-131,0.747401245234768,0.531,0.365,2.03836686482652e-126,"1","IDS"
"POLR2L",5.78939837243145e-131,0.667652125413072,0.629,0.476,2.11897769829363e-126,"1","POLR2L"
"PDCD4",9.85965125007042e-131,0.618922715137938,0.568,0.394,3.60873095403828e-126,"1","PDCD4"
"MBP",1.1917729563084e-130,0.538618772279209,0.543,0.348,4.36200819738439e-126,"1","MBP"
"CCNI1",5.40130386124811e-130,0.475530083405029,0.816,0.655,1.97693122625542e-125,"1","CCNI"
"RBM31",1.60657020805978e-129,0.601036928591897,0.678,0.525,5.88020761851959e-125,"1","RBM3"
"GPI",3.95956864625823e-129,0.957445170730152,0.448,0.294,1.44924172021698e-124,"1","GPI"
