"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RERE4",4.63260281617432e-41,1.34527297657791,0.508,0.286,1.69557895674796e-36,"13","RERE"
"USP472",5.58186481148897e-41,1.53037080175218,0.449,0.235,2.04301833965308e-36,"13","USP47"
"ATXN15",6.78832325528427e-41,1.05166809123568,0.581,0.363,2.4845941946666e-36,"13","ATXN1"
"TMCC1",7.60282535893911e-41,2.10121081643359,0.253,0.091,2.78271010962531e-36,"13","TMCC1"
"DAAM11",8.94671972903789e-41,2.28402015166503,0.274,0.106,3.27458888802516e-36,"13","DAAM1"
"ZEB12",1.05972068886146e-40,1.58440365677695,0.438,0.228,3.87868369330182e-36,"13","ZEB1"
"B4GALT51",1.36496142369001e-40,1.89139015001428,0.279,0.107,4.9958953068478e-36,"13","B4GALT5"
"XPR1",2.2192999486687e-40,1.90057787568357,0.294,0.117,8.12285974212232e-36,"13","XPR1"
"CHD95",2.65538002595948e-40,1.54525202089195,0.464,0.26,9.71895643301429e-36,"13","CHD9"
"SMAD32",2.88847676410415e-40,2.08564372962207,0.385,0.189,1.05721138042976e-35,"13","SMAD3"
"TENT4A",3.8511886648663e-40,1.90677121368985,0.251,0.09,1.40957356322772e-35,"13","TENT4A"
"RFX32",4.18096283215406e-40,1.6823041925401,0.415,0.206,1.53027420619671e-35,"13","RFX3"
"ACTN45",5.88455896300007e-40,1.68663231610705,0.536,0.337,2.15380742604766e-35,"13","ACTN4"
"NAA15",6.03396523466409e-40,2.09957766250943,0.313,0.134,2.2084916155394e-35,"13","NAA15"
"DDX10",6.913216322941e-40,2.04348685912581,0.263,0.099,2.53030630635964e-35,"13","DDX10"
"MYO9B4",1.32833501885388e-39,1.49618992036172,0.479,0.259,4.86183900250709e-35,"13","MYO9B"
"ARHGAP172",1.39163226371881e-39,1.93009360898857,0.372,0.178,5.09351324843722e-35,"13","ARHGAP17"
"ATF35",1.7559199924059e-39,1.43117948742578,0.503,0.282,6.42684276420485e-35,"13","ATF3"
"RTN45",2.70218639054315e-39,1.68532389816683,0.566,0.382,9.89027240802699e-35,"13","RTN4"
"CSPP1",3.51867867542962e-39,2.24967717185759,0.25,0.092,1.28787158199399e-34,"13","CSPP1"
"SLC16A71",4.70734133411722e-39,2.44451391724674,0.331,0.149,1.72293400170025e-34,"13","SLC16A7"
"CMSS12",9.90201796356709e-39,1.31870179547342,0.387,0.186,3.62423759484519e-34,"13","CMSS1"
"FAM193A",1.49897613427119e-38,1.8632411684246,0.268,0.103,5.48640254904598e-34,"13","FAM193A"
"DNMBP3",1.66808231898601e-38,1.66927516432336,0.253,0.092,6.10534809572069e-34,"13","DNMBP"
"TOP13",2.97183034115541e-38,1.59388822296522,0.562,0.395,1.08771962316629e-33,"13","TOP1"
"SMURF2",5.10280849816322e-38,1.69525417151045,0.277,0.108,1.86767893841272e-33,"13","SMURF2"
"ANKRD36C1",1.23100145255839e-37,1.59088395143493,0.296,0.12,4.50558841650897e-33,"13","ANKRD36C"
"SMYD33",1.60727155271307e-37,1.6844685412143,0.438,0.244,5.88277461008512e-33,"13","SMYD3"
"DYRK1A2",2.21944897295345e-37,1.46503472009322,0.404,0.202,8.12340518590692e-33,"13","DYRK1A"
"NUTM2B-AS12",2.78206196928184e-37,1.52813082124805,0.412,0.214,1.01826250137685e-32,"13","NUTM2B-AS1"
"SEC24D1",2.89659814158946e-37,2.19602706987624,0.302,0.133,1.06018388580316e-32,"13","SEC24D"
"RALGAPA12",6.04580511777119e-37,1.07384261129644,0.48,0.263,2.21282513115544e-32,"13","RALGAPA1"
"GLS3",7.20405574639673e-37,1.45391877717669,0.43,0.228,2.63675644373867e-32,"13","GLS"
"LRPPRC",8.19780616469336e-37,1.86113097678518,0.343,0.161,3.00047903433942e-32,"13","LRPPRC"
"CORO1C3",8.35400754323255e-37,2.00565207690757,0.264,0.106,3.05765030089854e-32,"13","CORO1C"
"POU2F11",3.88973931845443e-36,1.81604350734859,0.289,0.12,1.42368348794751e-31,"13","POU2F1"
"DDX214",4.10427430723407e-36,1.48404647345563,0.585,0.416,1.50220543919074e-31,"13","DDX21"
"BTBD92",6.01595881700682e-36,1.32715139588658,0.436,0.226,2.20190108661267e-31,"13","BTBD9"
"RPS6KC1",2.19475848866347e-35,1.82543928080672,0.266,0.107,8.03303554435717e-31,"13","RPS6KC1"
"KLC11",2.21137612438201e-35,1.68604729796316,0.378,0.193,8.09385775285059e-31,"13","KLC1"
"ARHGAP242",2.50058330110463e-35,1.059591024283,0.436,0.226,9.15238494037304e-31,"13","ARHGAP24"
"CUL32",3.15354575639354e-35,1.32925263986947,0.413,0.212,1.1542292822976e-30,"13","CUL3"
"MLXIP",3.30135188788963e-35,1.95797845694097,0.281,0.118,1.20832780448648e-30,"13","MLXIP"
"PDLIM72",3.40610142378662e-35,1.8234448127609,0.255,0.099,1.24666718212014e-30,"13","PDLIM7"
"CLASP13",4.32813955204747e-35,1.51469747830449,0.346,0.16,1.58414235744489e-30,"13","CLASP1"
"SUSD63",7.23675662598658e-35,1.78750363101537,0.348,0.167,2.64872529267735e-30,"13","SUSD6"
"GAS64",1.06827434969606e-34,1.67944868676873,0.346,0.167,3.90999094732256e-30,"13","GAS6"
"NT5C23",1.30387749721048e-34,1.87684315535923,0.345,0.169,4.77232202754006e-30,"13","NT5C2"
"CTNNB13",1.31270638160939e-34,1.45785305578638,0.492,0.3,4.80463662732854e-30,"13","CTNNB1"
"SLC38A24",1.37092643975998e-34,1.7068611710299,0.456,0.273,5.0177278621655e-30,"13","SLC38A2"
"MYC3",1.70152153720018e-34,1.15453678794004,0.363,0.167,6.22773897830639e-30,"13","MYC"
"MT-CO34",2.29855778765397e-34,0.460776899407999,0.963,0.989,8.41295135859231e-30,"13","MT-CO3"
"HERC42",2.8216865344096e-34,1.55816057800581,0.376,0.19,1.03276548845926e-29,"13","HERC4"
"PDE4DIP3",3.39036045317112e-34,1.71642138146259,0.326,0.153,1.24090582946516e-29,"13","PDE4DIP"
"CYTOR2",3.44106159763455e-34,2.810745753389,0.503,0.344,1.25946295535022e-29,"13","CYTOR"
"PHF21A3",3.63006185836015e-34,1.78181702585956,0.335,0.158,1.3286389407784e-29,"13","PHF21A"
"DNM1L",3.87883429735539e-34,1.72165699841712,0.317,0.146,1.41969214117505e-29,"13","DNM1L"
"MIR4435-2HG4",5.19094967917861e-34,1.98206973902662,0.428,0.25,1.89993949207616e-29,"13","MIR4435-2HG"
"KPNA42",7.26656824394216e-34,1.82860193336724,0.333,0.161,2.65963664296527e-29,"13","KPNA4"
"TBC1D12",9.77886177266033e-34,2.21857453501323,0.399,0.228,3.57916119741141e-29,"13","TBC1D1"
"CTSL3",1.15507356253425e-33,1.22176969770669,0.363,0.171,4.22768474623162e-29,"13","CTSL"
"SEC31A4",1.28559818844694e-33,1.45863184787253,0.449,0.268,4.70541792953463e-29,"13","SEC31A"
"TIMP24",1.71330026516593e-33,1.7393205653112,0.318,0.147,6.27085030053381e-29,"13","TIMP2"
"NBAS3",1.78871013569995e-33,1.57198485003787,0.326,0.15,6.54685796767538e-29,"13","NBAS"
"BAZ2B3",3.21199966186757e-33,1.76228416639644,0.331,0.161,1.17562399624015e-28,"13","BAZ2B"
"NUP983",5.42087102104344e-33,1.31077620864734,0.482,0.289,1.98409300241211e-28,"13","NUP98"
"DLGAP42",5.47838310831276e-33,2.01667260596635,0.292,0.132,2.00514300147355e-28,"13","DLGAP4"
"UBE3A2",7.99979791879731e-33,1.47028611116274,0.449,0.267,2.928006036259e-28,"13","UBE3A"
"CPSF62",1.00464523620555e-32,1.52603417661632,0.413,0.234,3.67710202903594e-28,"13","CPSF6"
"EEA13",1.16091191623469e-32,1.83186303967964,0.346,0.174,4.24905370461059e-28,"13","EEA1"
"KANSL12",1.77155072604251e-32,1.26112127225931,0.475,0.279,6.48405281238818e-28,"13","KANSL1"
"CCNL2",2.02149559051734e-32,1.60782698811269,0.356,0.178,7.3988760108525e-28,"13","CCNL2"
"JAK22",2.87136086561216e-32,2.03835366847685,0.302,0.139,1.05094679042271e-27,"13","JAK2"
"PTPN122",5.00680848893046e-32,1.63585141205167,0.268,0.113,1.83254197503344e-27,"13","PTPN12"
"CDK132",5.52804979102872e-32,1.31344812738076,0.363,0.178,2.02332150401442e-27,"13","CDK13"
"ZEB23",9.06047655330453e-32,0.818145791296746,0.607,0.396,3.31622502327499e-27,"13","ZEB2"
"TNRC181",1.11761322721489e-31,1.80644881509003,0.251,0.103,4.0905761729292e-27,"13","TNRC18"
"RHEB4",1.12098374753537e-31,1.74552672288004,0.445,0.281,4.10291261435421e-27,"13","RHEB"
"ABR4",1.15684039743806e-31,1.40341387648483,0.359,0.18,4.23415153866304e-27,"13","ABR"
"SMG12",1.21211540508596e-31,1.35924921766845,0.441,0.258,4.43646359415511e-27,"13","SMG1"
"HUWE12",1.44114267250023e-31,1.22729178873026,0.421,0.233,5.2747262956181e-27,"13","HUWE1"
"KPNA11",2.0244383447981e-31,1.67624932509633,0.304,0.14,7.40964678579554e-27,"13","KPNA1"
"MIR22HG2",2.61354639186172e-31,1.85278900424286,0.255,0.107,9.56584114885308e-27,"13","MIR22HG"
"PUM12",3.74873981836156e-31,1.16668086243717,0.443,0.251,1.37207626091852e-26,"13","PUM1"
"CDKN1A4",4.7217577010583e-31,0.997807157733164,0.549,0.338,1.72821053616435e-26,"13","CDKN1A"
"CREB3L22",4.91759565013181e-31,2.21362446118504,0.315,0.158,1.79988918390474e-26,"13","CREB3L2"
"FGD43",4.97155560006275e-31,1.57540737491271,0.33,0.161,1.81963906517897e-26,"13","FGD4"
"LUC7L22",5.08006189413645e-31,1.32408997783883,0.482,0.308,1.85935345387288e-26,"13","LUC7L2"
"KIAA11092",5.63921263250581e-31,1.36450151016926,0.369,0.189,2.06400821562345e-26,"13","KIAA1109"
"DHX152",6.59349746684199e-31,1.5499714231235,0.391,0.216,2.41328600783884e-26,"13","DHX15"
"SESTD13",7.16750477282175e-31,1.55763111019811,0.289,0.128,2.62337842190049e-26,"13","SESTD1"
"TNRC6C2",8.95697297388431e-31,1.29140566460679,0.294,0.129,3.2783416781714e-26,"13","TNRC6C"
"LRRFIP21",9.05869367068727e-31,1.72497424589668,0.358,0.188,3.31557247040825e-26,"13","LRRFIP2"
"PPP6R32",9.58299105718503e-31,1.2267161465315,0.48,0.289,3.50747055684029e-26,"13","PPP6R3"
"MED27",1.88846605204051e-30,1.75888450339085,0.281,0.126,6.91197459707348e-26,"13","MED27"
"SGMS13",2.14786605436039e-30,1.48810336557403,0.365,0.189,7.86140454556446e-26,"13","SGMS1"
"SFPQ3",2.22953085008011e-30,1.21912953800744,0.547,0.371,8.1603058643782e-26,"13","SFPQ"
"ATXN71",2.42440940976417e-30,1.41931312884154,0.311,0.144,8.87358088067785e-26,"13","ATXN7"
"ZHX22",2.61078932445307e-30,1.1204487988072,0.436,0.247,9.55575000643069e-26,"13","ZHX2"
"RPS6KA34",4.83696340844568e-30,1.65363353587787,0.43,0.258,1.7703769771252e-25,"13","RPS6KA3"
"DPYD4",7.03431763533502e-30,0.95794934964885,0.559,0.362,2.57463059770897e-25,"13","DPYD"
"TRAK13",7.19122875600325e-30,1.5515299478834,0.324,0.156,2.63206163698475e-25,"13","TRAK1"
"OSBPL92",9.45654610195564e-30,1.60532965653516,0.378,0.21,3.46119043877678e-25,"13","OSBPL9"
"RIPK1",1.02436327656873e-29,1.76098195090541,0.294,0.138,3.74927202856919e-25,"13","RIPK1"
"POM121",1.42350259126268e-29,1.82205892737521,0.25,0.105,5.21016183428054e-25,"13","POM121"
"CNOT42",1.62919056806868e-29,1.27694517946936,0.395,0.217,5.96300039818817e-25,"13","CNOT4"
"SOD32",1.85649688304318e-29,0.485499156020542,0.257,0.099,6.79496424162634e-25,"13","SOD3"
"HIVEP3",1.9268233218026e-29,2.29134554212663,0.251,0.109,7.0523660401297e-25,"13","HIVEP3"
"KCMF1",2.57805243349662e-29,1.84916521284704,0.257,0.112,9.43592971184098e-25,"13","KCMF1"
"TAOK12",2.99829349143253e-29,1.38848661751233,0.333,0.165,1.09740540079922e-24,"13","TAOK1"
"CPQ4",3.83681253145649e-29,1.38734883358842,0.382,0.211,1.40431175463839e-24,"13","CPQ"
"GBF12",5.53018590698809e-29,1.58309415961275,0.352,0.186,2.02410334381671e-24,"13","GBF1"
"USP322",6.2273364351118e-29,1.50367726599704,0.294,0.138,2.27926740861527e-24,"13","USP32"
"ZFAND54",6.4832960336689e-29,1.24530068311325,0.507,0.336,2.37295118128315e-24,"13","ZFAND5"
"CHD14",7.92384532933251e-29,1.37198482372456,0.48,0.31,2.90020662898899e-24,"13","CHD1"
"FHIT4",8.20473515997756e-29,1.77765892520356,0.322,0.165,3.00301511590339e-24,"13","FHIT"
"CAV12",8.33792548659315e-29,0.854702238335761,0.274,0.115,3.05176410734796e-24,"13","CAV1"
"TCF44",8.79719932864129e-29,1.08151850796333,0.443,0.268,3.219862926276e-24,"13","TCF4"
"RAF11",1.27248994262888e-28,1.51899987533349,0.374,0.207,4.65744043901597e-24,"13","RAF1"
"SUMF12",1.65425291634815e-28,1.67118527156821,0.339,0.177,6.05473109912587e-24,"13","SUMF1"
"AHCTF1",1.92336512614929e-28,1.669830585136,0.276,0.126,7.03970869821903e-24,"13","AHCTF1"
"ZMYND11",1.9673262847925e-28,1.52212051027469,0.264,0.117,7.20061093496904e-24,"13","ZMYND11"
"ECE11",2.23866940470554e-28,2.00159522595419,0.304,0.15,8.19375388816274e-24,"13","ECE1"
"SPPL32",2.7917829915102e-28,1.49558073456253,0.296,0.139,1.02182049272265e-23,"13","SPPL3"
"GTDC1",3.05155730596229e-28,1.44229950436094,0.302,0.144,1.11690048955526e-23,"13","GTDC1"
"FBXW112",4.09435783339452e-28,1.4093674541528,0.378,0.208,1.49857591060073e-23,"13","FBXW11"
"RAB212",6.64786312403181e-28,1.51192297207405,0.298,0.143,2.43318438202688e-23,"13","RAB21"
"LUC7L1",7.45651908931783e-28,1.5286882942177,0.343,0.178,2.72916055188122e-23,"13","LUC7L"
"ELL3",9.88846889579708e-28,1.98648381542443,0.317,0.165,3.61927850055069e-23,"13","ELL"
"NCOR22",9.98396049439777e-28,1.45968246380648,0.352,0.187,3.65422938055453e-23,"13","NCOR2"
"MEF2A4",1.59731029618292e-27,1.23426917153901,0.439,0.274,5.84631541505909e-23,"13","MEF2A"
"UBE2K3",1.76849614678018e-27,1.56398121225295,0.399,0.236,6.47287274683013e-23,"13","UBE2K"
"HDAC8",2.03008966061012e-27,1.78060580856689,0.261,0.119,7.43033116679912e-23,"13","HDAC8"
"FOXJ31",2.54142626020241e-27,1.41116318303759,0.317,0.157,9.30187425496685e-23,"13","FOXJ3"
"MT-ATP84",2.89971159633118e-27,0.4556143080466,0.946,0.977,1.06132344137317e-22,"13","MT-ATP8"
"MT-ND15",2.97846443124021e-27,0.457628850325461,0.922,0.97,1.09014776647823e-22,"13","MT-ND1"
"STK241",4.12548177239754e-27,1.49113333242375,0.302,0.149,1.50996758351522e-22,"13","STK24"
"MT-ATP64",4.83245346846493e-27,0.578507202574742,0.875,0.903,1.76872629399285e-22,"13","MT-ATP6"
"PIK3C2A",5.42154354553445e-27,1.45971556108217,0.281,0.133,1.98433915310107e-22,"13","PIK3C2A"
"TBCK1",5.56358695195066e-27,1.45235952149532,0.261,0.116,2.03632846028346e-22,"13","TBCK"
"WDR431",5.87632098567795e-27,2.06451647880555,0.317,0.168,2.15079224396799e-22,"13","WDR43"
"MAN1A14",8.94299554678592e-27,1.81636548007238,0.374,0.222,3.27322580007912e-22,"13","MAN1A1"
"DSTN2",1.12195452136066e-26,0.758610888252476,0.475,0.311,4.10646574363216e-22,"13","DSTN"
"MT-ND24",1.36314990957884e-26,0.52370801474197,0.914,0.942,4.98926498404951e-22,"13","MT-ND2"
"SKI2",1.62373149410574e-26,1.31822009289185,0.305,0.149,5.94301964157641e-22,"13","SKI"
"SNX13",1.64406193126409e-26,1.52447264823112,0.259,0.117,6.0174310746197e-22,"13","SNX13"
"SPIDR4",1.66067519812413e-26,1.23292657384156,0.453,0.282,6.07823729265414e-22,"13","SPIDR"
"EIF3J2",1.72252856397484e-26,1.86383844474623,0.397,0.249,6.30462679700431e-22,"13","EIF3J"
"CUL11",1.79290023570993e-26,1.59704602598458,0.352,0.197,6.56219415272191e-22,"13","CUL1"
"IFRD11",1.82128608027543e-26,1.51429979314632,0.354,0.192,6.66608918241611e-22,"13","IFRD1"
"FNDC3A5",1.89023497593255e-26,1.07489988824679,0.479,0.306,6.91844903541074e-22,"13","FNDC3A"
"LRCH31",4.8666944593601e-26,1.30698356929164,0.313,0.157,1.78125883907039e-21,"13","LRCH3"
"UBASH3B2",5.00221493818697e-26,2.38183566267444,0.261,0.124,1.83086068952581e-21,"13","UBASH3B"
"UGCG1",5.51995896521674e-26,1.83035510183532,0.255,0.118,2.02036018085898e-21,"13","UGCG"
"SEPTIN112",6.64108272704295e-26,1.97727953627558,0.298,0.152,2.43070268892499e-21,"13","SEPTIN11"
"GSPT11",7.75159177987024e-26,1.60455793398544,0.333,0.18,2.83716010735031e-21,"13","GSPT1"
"NOLC11",1.01588033070093e-25,1.74472524241049,0.315,0.167,3.71822359839849e-21,"13","NOLC1"
"ZNF6382",1.08790204690138e-25,1.17130633083284,0.443,0.277,3.98183028186375e-21,"13","ZNF638"
"SETD22",1.70746914082787e-25,1.09916223460711,0.423,0.249,6.24950780234411e-21,"13","SETD2"
"ATAD2B2",4.10704356707106e-25,1.28977045836243,0.328,0.168,1.50321901598368e-20,"13","ATAD2B"
"WDR703",4.67054474039885e-25,1.38288540313237,0.324,0.17,1.70946608043338e-20,"13","WDR70"
"SMARCC12",4.6912453945943e-25,1.4200623396444,0.35,0.192,1.71704272687546e-20,"13","SMARCC1"
"HECTD12",4.93209641153025e-25,1.2286391351688,0.406,0.244,1.80519660758419e-20,"13","HECTD1"
"SON4",7.45842354527831e-25,0.64366979434977,0.808,0.75,2.72985760180731e-20,"13","SON"
"SCFD21",7.64904602263145e-25,1.3461268778142,0.283,0.137,2.79962733474334e-20,"13","SCFD2"
"RAB7A5",7.97669365727732e-25,1.73765874834218,0.574,0.472,2.91954964550007e-20,"13","RAB7A"
"UST2",1.07411413418697e-24,2.0639100726081,0.25,0.117,3.93136514253772e-20,"13","UST"
"JAK12",1.33759198602545e-24,0.860500945477836,0.665,0.557,4.89572042805174e-20,"13","JAK1"
"HERC22",1.52344806495338e-24,1.35195764744999,0.346,0.193,5.57597226253588e-20,"13","HERC2"
"TP53BP22",1.60584165314574e-24,1.57514734139549,0.281,0.139,5.87754103467873e-20,"13","TP53BP2"
"ANKIB1",1.64402075318447e-24,1.60340227151533,0.272,0.132,6.01728035873047e-20,"13","ANKIB1"
"GOLGA43",1.68698822675474e-24,1.22217797318414,0.469,0.318,6.17454560874501e-20,"13","GOLGA4"
"PDS5A2",2.7489994604815e-24,1.24122836421353,0.382,0.219,1.00616129253083e-19,"13","PDS5A"
"FOSL22",3.43987266936886e-24,1.29225004855975,0.397,0.238,1.2590277957157e-19,"13","FOSL2"
"ADAM172",3.48572721591551e-24,1.61472271051003,0.328,0.181,1.27581101829723e-19,"13","ADAM17"
"RIF1",4.16898898922947e-24,1.48753101262942,0.276,0.136,1.52589165994788e-19,"13","RIF1"
"NFATC12",4.17545505439194e-24,2.22605178973654,0.3,0.159,1.52825830445799e-19,"13","NFATC1"
"MTREX1",4.26001779839767e-24,1.53084074154089,0.298,0.153,1.55920911439153e-19,"13","MTREX"
"TRIM442",5.24573291623729e-24,1.3659862783097,0.333,0.185,1.91999070467201e-19,"13","TRIM44"
"CREBBP3",5.37597647562511e-24,1.09598050913914,0.406,0.24,1.96766114984355e-19,"13","CREBBP"
"GRK52",5.59371699593239e-24,1.23297378409617,0.333,0.178,2.04735635768121e-19,"13","GRK5"
"NPEPPS1",5.66133052944859e-24,1.3850801549035,0.331,0.183,2.07210358708348e-19,"13","NPEPPS"
"RBM252",5.9949775325086e-24,0.990330014951796,0.555,0.414,2.19422172667347e-19,"13","RBM25"
"FARS22",6.72778949692727e-24,1.45209933301389,0.309,0.163,2.46243823377035e-19,"13","FARS2"
"ETF14",7.8931538003814e-24,1.53165324209018,0.371,0.217,2.8889732224776e-19,"13","ETF1"
"EPC22",7.95219390781584e-24,1.25561884547237,0.263,0.123,2.91058249219968e-19,"13","EPC2"
"UBE3C1",1.03388124223016e-23,1.40838807010566,0.263,0.126,3.78410873468662e-19,"13","UBE3C"
"CEBPD5",1.24495940217796e-23,1.28870827534542,0.356,0.197,4.55667590791154e-19,"13","CEBPD"
"ANKRD114",1.34127049971701e-23,0.801886899306949,0.525,0.361,4.90918415601422e-19,"13","ANKRD11"
"TRIM331",1.39349521062903e-23,1.40177405468875,0.266,0.129,5.10033182042332e-19,"13","TRIM33"
"PCGF52",1.42341449789559e-23,1.58713665929542,0.385,0.241,5.20983940374765e-19,"13","PCGF5"
"ATP9B4",1.59745373572778e-23,1.06420530745628,0.372,0.209,5.84684041813724e-19,"13","ATP9B"
"ZNF6442",1.60102172274202e-23,1.09485474414216,0.436,0.274,5.85989960740808e-19,"13","ZNF644"
"ARID23",1.6333524522559e-23,1.25497949527393,0.337,0.183,5.97823331050181e-19,"13","ARID2"
"NFKBIZ2",1.92847186799862e-23,0.893231372625431,0.562,0.393,7.05839988406174e-19,"13","NFKBIZ"
"HOOK33",2.13112225427554e-23,1.49169656593201,0.35,0.202,7.80012056287389e-19,"13","HOOK3"
"IARS",2.62589256673041e-23,1.6345038119392,0.276,0.141,9.61102938348997e-19,"13","IARS"
"CLASP23",2.68286719293945e-23,1.29949720787229,0.363,0.207,9.81956221287767e-19,"13","CLASP2"
"FCHSD24",2.80836808937271e-23,1.446859034506,0.456,0.313,1.0278908043913e-18,"13","FCHSD2"
"TMEM1311",3.91030481556352e-23,1.15492805969168,0.345,0.19,1.43121066554441e-18,"13","TMEM131"
"RHOQ3",4.28067921312991e-23,1.8034084481641,0.27,0.137,1.56677139879768e-18,"13","RHOQ"
"ZNF4072",5.46107154706453e-23,1.28365921814956,0.277,0.137,1.99880679694109e-18,"13","ZNF407"
"FAR1",5.63048506275632e-23,1.47488380258832,0.272,0.136,2.06081383781944e-18,"13","FAR1"
"EIF4G33",6.21600306433187e-23,1.38110650829566,0.361,0.208,2.27511928157611e-18,"13","EIF4G3"
"TMEM87A1",6.94496296179232e-23,1.29669766798449,0.359,0.209,2.54192589364561e-18,"13","TMEM87A"
"FNIP13",8.21087447444605e-23,1.18002147677969,0.372,0.216,3.005262166392e-18,"13","FNIP1"
"NUFIP23",9.1038802776854e-23,1.42628225463902,0.311,0.168,3.33211122043563e-18,"13","NUFIP2"
"TMEM2632",9.57074387817271e-23,1.68772908627759,0.263,0.13,3.50298796684999e-18,"13","TMEM263"
"LENG84",1.73131854012106e-22,1.13238819964373,0.41,0.254,6.3367989886971e-18,"13","LENG8"
"MT-ND53",1.99005980073464e-22,0.477528548400362,0.92,0.949,7.28381787666885e-18,"13","MT-ND5"
"MBNL22",2.49708567633975e-22,1.50491589076974,0.397,0.257,9.13958328397113e-18,"13","MBNL2"
"RYBP2",2.6490893750976e-22,1.42792715633632,0.3,0.159,9.69593202179474e-18,"13","RYBP"
"PPP3CA2",2.81487811575181e-22,1.61328814916844,0.447,0.31,1.03027353914632e-17,"13","PPP3CA"
"CALU2",2.82495513894134e-22,1.76827496260682,0.283,0.152,1.03396183040392e-17,"13","CALU"
"FAM172A2",3.52074019089945e-22,1.12332560983242,0.41,0.254,1.28862611727111e-17,"13","FAM172A"
"BRD44",4.01001111952235e-22,1.19840369306634,0.406,0.253,1.46770416985637e-17,"13","BRD4"
"HK11",5.19681219943973e-22,1.7429202347137,0.307,0.171,1.90208523311694e-17,"13","HK1"
"SLC39A112",6.10882019812701e-22,1.7993815353979,0.253,0.126,2.23588928071647e-17,"13","SLC39A11"
"AC118549.1",7.5352822796508e-22,1.54107761881232,0.257,0.126,2.75798866717499e-17,"13","AC118549.1"
"PUM22",7.80183925082813e-22,0.935339786873902,0.421,0.256,2.8555511841956e-17,"13","PUM2"
"VWA82",9.26516522714207e-22,1.45986843594912,0.251,0.122,3.39114312478627e-17,"13","VWA8"
"LUC7L33",1.14071076196165e-21,1.03369657825521,0.492,0.344,4.17511545985583e-17,"13","LUC7L3"
"SPEN",1.3095703269361e-21,1.45898601654024,0.287,0.15,4.79315835361881e-17,"13","SPEN"
"BIRC62",1.33878252720131e-21,0.876445194195467,0.512,0.354,4.90007792780951e-17,"13","BIRC6"
"UBA22",1.34165927158673e-21,1.28755312082792,0.4,0.258,4.91060709993458e-17,"13","UBA2"
"DCAF6",1.53327618752135e-21,1.6348123611351,0.257,0.129,5.61194417394688e-17,"13","DCAF6"
"PPP6R22",1.9914201499799e-21,1.4204301916802,0.331,0.189,7.28879689094142e-17,"13","PPP6R2"
"FBXL173",2.0029784559919e-21,1.2355108609962,0.339,0.194,7.33110144677596e-17,"13","FBXL17"
"ITCH4",2.01126294866485e-21,1.23756723411639,0.356,0.21,7.36142351840822e-17,"13","ITCH"
"NOP583",2.20457417311404e-21,1.28144437211287,0.471,0.336,8.06896193101469e-17,"13","NOP58"
"DENND4C1",2.21341644168739e-21,1.41406843277806,0.298,0.159,8.10132551822002e-17,"13","DENND4C"
"TBL1X2",2.3919847220135e-21,1.2090999035782,0.296,0.156,8.75490328104163e-17,"13","TBL1X"
"GADD45B5",2.43578439887132e-21,0.909590502197858,0.531,0.373,8.91521447830891e-17,"13","GADD45B"
"UTY1",2.57975485957404e-21,1.39113864633117,0.305,0.168,9.44216076152693e-17,"13","UTY"
"SEC24B2",3.51168172099457e-21,1.17667779925714,0.311,0.169,1.28531062670122e-16,"13","SEC24B"
"CCNH4",4.55072223675483e-21,1.25730396878896,0.611,0.504,1.66560984587463e-16,"13","CCNH"
"LRRFIP15",6.6150411779722e-21,1.00680536797886,0.682,0.576,2.4211712215496e-16,"13","LRRFIP1"
"ASPH3",8.67137331633402e-21,1.39859905156838,0.274,0.141,3.17380934751142e-16,"13","ASPH"
"MAN2A14",1.42019484529018e-20,1.76293500282999,0.337,0.201,5.19805515324657e-16,"13","MAN2A1"
"RPTOR1",1.65792023153962e-20,1.19959286912197,0.251,0.122,6.06815383945817e-16,"13","RPTOR"
"TCERG11",1.77853203615859e-20,1.36679587839217,0.328,0.19,6.50960510554406e-16,"13","TCERG1"
"USP342",1.80161458020366e-20,0.804616580694686,0.516,0.366,6.59408952500341e-16,"13","USP34"
"CASK1",1.86206628353131e-20,1.04954512696385,0.257,0.126,6.81534880435295e-16,"13","CASK"
"MAP1LC3A2",2.07269882568593e-20,1.39738728903818,0.25,0.123,7.58628497189309e-16,"13","MAP1LC3A"
"SETD52",2.42593980413307e-20,1.23832107047764,0.38,0.237,8.87918227710745e-16,"13","SETD5"
"PSMD15",2.99052171714442e-20,1.49602803656103,0.309,0.175,1.09456085369203e-15,"13","PSMD1"
"ARMC8",3.37236151490642e-20,1.3343779623312,0.279,0.15,1.2343180380709e-15,"13","ARMC8"
"GPATCH82",3.50163095841558e-20,1.0325782644103,0.402,0.251,1.28163194708969e-15,"13","GPATCH8"
"CAMTA12",3.99462637405847e-20,1.44464114075901,0.391,0.268,1.46207319916914e-15,"13","CAMTA1"
"CREBZF",4.93011557670696e-20,1.37608876399124,0.261,0.133,1.80447160223051e-15,"13","CREBZF"
"ITPR13",5.4272796820702e-20,0.929322406820474,0.374,0.225,1.98643863643451e-15,"13","ITPR1"
"TRPM72",5.7749862485341e-20,1.3411517336041,0.313,0.177,2.11370271682597e-15,"13","TRPM7"
"YWHAG2",6.066645697854e-20,1.79455035116273,0.296,0.168,2.22045299187154e-15,"13","YWHAG"
